crm_account_id,account_name,account_type,address_line1,address_line2,city,state,zip,linked_onekey_hco_id,parent_account_name,notes
A-001,Mass General Brigham,Health System,399 Revolution Dr,,Somerville,MA,02145,SYSB001,,
A-002,NYU Langone Health,Health System,550 1st Ave,,New York,NY,10016,SYSN001,,
A-003,Mount Sinai Health System,Health System,1 Gustave L Levy Pl,,New York,NY,10029,SYSN002,,
A-004,NewYork-Presbyterian,Health System,525 E 68th St,,New York,NY,10065,SYSN003,,
A-005,MGB Dermatology Network - South End,Clinic / Practice,375 Harrison Ave,Ste 2A,Boston,MA,02118,,,
A-006,Fenway Dermatology Associates,Clinic / Practice,401 Park Dr,Suite 2,Boston,MA,02215,,,
A-007,MGB Dermatology Network - Seaport,Clinic / Practice,88 Seaport Blvd,Ste 250,Boston,MA,02210,,,
A-008,Medford Dermatology,Clinic / Practice,170 Governors Ave,Ste 202,Medford,MA,02155,CLN0007,,
A-009,Back Bay Dermatology,Independent Practice,800 Boylston St,Suite 1600,Boston,MA,02199,RUPL001,,
A-010,Seaport Dermatology,Independent Practice,88 Seaport Blvd,Suite 250,Boston,MA,02210,RUPL002,,
A-011,Beacon Hill Dermatology,Clinic / Practice,1 Charles St S,Suite 300,Boston,MA,02116,,,
A-012,Cambridge Dermatology Center,Clinic / Practice,1101 Cambridge St,Ste 200,Cambridge,MA,02141,CLN0003,,
A-013,MGB Dermatology Network - Fenway Associates,Clinic / Practice,401 Park Dr,Ste 2,Boston,MA,02215,,,
A-014,Dorchester Dermatology,Clinic / Practice,2100 Dorchester Ave,Ste 201,Dorchester,MA,02124,CLN0009,,
A-015,Newton Dermatology,Clinic / Practice,2000 Washington St,Ste 400,Newton,MA,02462,CLN0006,,
A-016,MGB Dermatology Network - Beacon Hill,Clinic / Practice,1 Charles St S,Ste 300,Boston,MA,02116,,,
A-017,MGB Dermatology Network - Back Bay,Clinic / Practice,800 Boylston St,Ste 1600,Boston,MA,02199,,,
